PMID	PMCID	Title	doi	Journal	JournalAbbr	ISSN	PubDate	ImpactFactor	H-index
31213670	PMC7471460	Huperzine A ameliorates obesity-related cognitive performance impairments involving neuronal insulin signaling pathway in mice.	10.1038/s41401-019-0257-1	Acta pharmacologica Sinica	Acta Pharmacol Sin	1745-7254	2020-02-01	5.19	90
31947800	PMC7168060	Endothelial Aldehyde Dehydrogenase 2 as a Target to Maintain Vascular Wellness and Function in Ageing.	10.3390/biomedicines8010004	Biomedicines	Biomedicines	2227-9059	2020-01-03	5.612	28
23882219	PMC3712192	Using neurolipidomics to identify phospholipid mediators of synaptic (dys)function in Alzheimer's Disease.	10.3389/fphys.2013.00168	Frontiers in physiology	Front Physiol	1664-042X	2013-01-01	None	None
30682074	PMC6347230	Iba-1-/CD68+ microglia are a prominent feature of age-associated deep subcortical white matter lesions.	10.1371/journal.pone.0210888	PloS one	PLoS One	1932-6203	2019-01-01	3.041	332
32651433	PMC7351955	The innate immune toll-like-receptor-2 modulates the depressogenic and anorexiolytic neuroinflammatory response in obstructive sleep apnoea.	10.1038/s41598-020-68299-2	Scientific reports	Sci Rep	2045-2322	2020-07-10	4.13	213
28131015	PMC5359036	Amyloid and intracellular accumulation of BRI<sub>2</sub>.	10.1016/j.neurobiolaging.2016.12.018	Neurobiology of aging	Neurobiol Aging	1558-1497	2017-04-01	4.36	186
23792961	PMC3743493	Site-specific inhibitory mechanism for amyloid β42 aggregation by catechol-type flavonoids targeting the Lys residues.	10.1074/jbc.M113.464222	The Journal of biological chemistry	J Biol Chem	1083-351X	2013-08-09	None	None
31627405	PMC6836141	Fasting as a Therapy in Neurological Disease.	10.3390/nu11102501	Nutrients	Nutrients	2072-6643	2019-10-17	5.429	115
21875213	null	Motivational reserve: motivation-related occupational abilities and risk of mild cognitive impairment and Alzheimer disease.	10.1037/a0025117	Psychology and aging	Psychol Aging	1939-1498	2012-06-01	2.91	151
31759626	PMC6977085	Vitamin B5 (d-pantothenic acid) localizes in myelinated structures of the rat brain: Potential role for cerebral vitamin B5 stores in local myelin homeostasis.	10.1016/j.bbrc.2019.11.052	Biochemical and biophysical research communications	Biochem Biophys Res Commun	1090-2104	2020-01-29	3.307	263
27091843	PMC4854736	TREM2-mediated early microglial response limits diffusion and toxicity of amyloid plaques.	10.1084/jem.20151948	The Journal of experimental medicine	J Exp Med	1540-9538	2016-05-02	10.941	448
21297263	PMC3477600	Genetic association of sequence variants near AGER/NOTCH4 and dementia.	10.3233/JAD-2011-101848	Journal of Alzheimer's disease : JAD	J Alzheimers Dis	1875-8908	2011-01-01	4.042	139
21419225	PMC3085574	Evidence for functional specialization of hippocampal subfields detected by MR subfield volumetry on high resolution images at 4 T.	10.1016/j.neuroimage.2011.03.028	NeuroImage	Neuroimage	1095-9572	2011-06-01	6.82	364
22565015	null	Copper dysfunction in Alzheimer's disease: from meta-analysis of biochemical studies to new insight into genetics.	10.1016/j.jtemb.2012.04.012	Journal of trace elements in medicine and biology : organ of the Society for Minerals and Trace Elements (GMS)	J Trace Elem Med Biol	1878-3252	2012-06-01	3.531	76
27378688	PMC5179943	Identification of plexin A4 as a novel clusterin receptor links two Alzheimer's disease risk genes.	10.1093/hmg/ddw188	Human molecular genetics	Hum Mol Genet	1460-2083	2016-08-15	5.503	276
30340601	PMC6194676	Blood-brain barrier-associated pericytes internalize and clear aggregated amyloid-β42 by LRP1-dependent apolipoprotein E isoform-specific mechanism.	10.1186/s13024-018-0286-0	Molecular neurodegeneration	Mol Neurodegener	1750-1326	2018-10-19	12.521	83
1679288	PMC1683125	APP717, APP693, and PRIP gene mutations are rare in Alzheimer disease.	None	American journal of human genetics	Am J Hum Genet	0002-9297	1991-09-01	9.003	302
21891866	PMC3753178	Is TNF a link between aging-related reproductive endocrine dyscrasia and Alzheimer's disease?	10.3233/JAD-2011-110887	Journal of Alzheimer's disease : JAD	J Alzheimers Dis	1875-8908	2011-01-01	4.042	139
31250613	null	[Effect of rutaecarpine on Alzheimer's disease-like cognitive impairments induced by high glucose in rats].	10.12047/j.cjap.5805.2019.039	Zhongguo ying yong sheng li xue za zhi = Zhongguo yingyong shenglixue zazhi = Chinese journal of applied physiology	Zhongguo Ying Yong Sheng Li Xue Za Zhi	1000-6834	2019-02-01	None	None
25750603	PMC4342517	Metabolic profiling of a transgenic <i>Caenorhabditis elegans</i> Alzheimer model.	10.1007/s11306-014-0711-5	Metabolomics : Official journal of the Metabolomic Society	Metabolomics	1573-3882	2015-01-01	4.087	78
27102788	null	A High-sugar High-fat Diet Induced Metabolic Syndrome Shows some Symptoms of Alzheimer's Disease in Rats.	10.1007/s12603-015-0601-1	The journal of nutrition, health & aging	J Nutr Health Aging	1760-4788	2016-01-01	3.162	82
2162059	PMC54214	ATP-induced loss of Alz-50 immunoreactivity with the A68 proteins from Alzheimer brain is mediated by ubiquitin.	10.1073/pnas.87.12.4840	Proceedings of the National Academy of Sciences of the United States of America	Proc Natl Acad Sci U S A	0027-8424	1990-06-01	9.566	771
32922384	PMC7456854	Fibrotic Scar in Neurodegenerative Diseases.	10.3389/fimmu.2020.01394	Frontiers in immunology	Front Immunol	1664-3224	2020-01-01	6.756	124
30906244	PMC6419538	Low Cerebrospinal Fluid Levels of Melanotransferrin Are Associated With Conversion of Mild Cognitively Impaired Subjects to Alzheimer's Disease.	10.3389/fnins.2019.00181	Frontiers in neuroscience	Front Neurosci	1662-4548	2019-01-01	None	None
33307048	null	Biological evaluation of 7-O-amide hesperetin derivatives as multitarget-directed ligands for the treatment of Alzheimer's disease.	10.1016/j.cbi.2020.109350	Chemico-biological interactions	Chem Biol Interact	1872-7786	2021-01-25	4.791	120
24373429	PMC4013678	Alzheimer's disease: new data highlight nonneuronal cell types and the necessity for presymptomatic prevention strategies.	10.1016/j.biopsych.2013.11.019	Biological psychiatry	Biol Psychiatry	1873-2402	2014-04-01	7.038	319
25159670	null	Epigenetic modifications in Alzheimer's disease: cause or effect?	10.3233/JAD-141452	Journal of Alzheimer's disease : JAD	J Alzheimers Dis	1875-8908	2015-01-01	4.042	139
30949480	PMC6435489	Protein Kinase C: Targets to Regenerate Brain Injuries?	10.3389/fcell.2019.00039	Frontiers in cell and developmental biology	Front Cell Dev Biol	2296-634X	2019-01-01	None	None
30999567	PMC6514573	Non-Proteasomal UbL-UbA Family of Proteins in Neurodegeneration.	10.3390/ijms20081893	International journal of molecular sciences	Int J Mol Sci	1422-0067	2019-04-17	5.542	162
27034914	PMC4809258	The Structural and Functional Connectome and Prediction of Risk for Cognitive Impairment in Older Adults.	10.1007/s40473-015-0056-z	Current behavioral neuroscience reports	Curr Behav Neurosci Rep	2196-2979	2015-12-01	None	None
7566367	null	Carnitine, carnitine acetyltransferase, and glutathione in Alzheimer brain.	10.1007/BF01705539	Neurochemical research	Neurochem Res	0364-3190	1995-06-01	3.591	116
21304480	PMC3339565	Epidemiology of Alzheimer disease.	10.1038/nrneurol.2011.2	Nature reviews. Neurology	Nat Rev Neurol	1759-4766	2011-03-01	10.684	150
31191241	PMC6546027	Editing the Central Nervous System Through CRISPR/Cas9 Systems.	10.3389/fnmol.2019.00110	Frontiers in molecular neuroscience	Front Mol Neurosci	1662-5099	2019-01-01	5.132	63
